Snippet		448000	470000	22000	4
R-blink		462760	462960	200	N
R-blink		462960	463160	200	B
R-blink		463160	464200	1040	N
R-blink		464200	464440	240	B
R-blink		464440	464480	40	N
R-blink		464480	464760	280	B
R-blink		464760	464800	40	N
R-blink		464800	465000	200	B
R-blink		465000	465680	680	N
R-blink		465680	465920	240	B
R-blink		465920	466680	760	N
R-blink		466680	466880	200	B
R-blink		466880	467280	400	N
R-blink		467280	467600	320	B
R-blink		467600	468040	440	N
R-blink		468040	468360	320	B
R-blink		468360	468640	280	N
R-blink		468640	468960	320	B
R-blink		468960	469400	440	N
R-blink		469400	469680	280	B
R-blink		469680	470000	320	N
L-speech		448000	450336	2336	listening
L-speech		450336	450550	214	medium
L-speech		450550	450704	154	short
L-speech		450704	451072	368	medium
L-speech		451072	451212	140	short
L-speech		451212	451349	137	short
L-speech		451349	451670	321	listening
L-speech		451670	451905	235	medium
L-speech		451905	452020	115	short
L-speech		452020	452492	472	long
L-speech		452492	452611	119	short
L-speech		452611	452780	169	short
L-speech		452780	453008	228	medium
L-speech		453008	456839	3831	listening
L-speech		456839	457111	272	medium
L-speech		457111	457311	200	short
L-speech		457311	457461	150	short
L-speech		457461	457646	185	short
L-speech		457646	457907	261	medium
L-speech		457907	461825	3918	listening
L-speech		461825	462061	236	medium
L-speech		462061	462206	145	short
L-speech		462206	462365	159	short
L-speech		462365	462542	177	short
L-speech		462542	462769	227	medium
L-speech		462769	463099	330	listening
L-speech		463099	463255	156	short
L-speech		463255	463434	179	short
L-speech		463434	463637	203	medium
L-speech		463637	466725	3088	listening
L-speech		466725	466915	190	short
L-speech		466915	467128	213	medium
L-speech		467128	467229	101	short
L-speech		467229	467423	194	short
L-speech		467423	467566	143	short
L-speech		467566	467824	258	medium
L-speech		467824	470000	2176	listening
R-speech		448000	449142	1142	listening
R-speech		449142	449437	295	medium
R-speech		449437	449650	213	medium
R-speech		449650	449872	222	medium
R-speech		449872	450063	191	short
R-speech		450063	450159	96	short
R-speech		450159	453840	3681	listening
R-speech		453840	454762	922	long
R-speech		454762	455114	352	medium
R-speech		455114	455392	278	medium
R-speech		455392	455620	228	medium
R-speech		455620	455732	112	short
R-speech		455732	456017	285	medium
R-speech		456017	456351	334	medium
R-speech		456351	458678	2327	listening
R-speech		458678	458832	154	short
R-speech		458832	459039	207	medium
R-speech		459039	459216	177	short
R-speech		459216	459488	272	medium
R-speech		459488	459881	393	listening
R-speech		459881	460035	154	short
R-speech		460035	460177	142	short
R-speech		460177	460321	144	short
R-speech		460321	460435	114	short
R-speech		460435	460746	311	medium
R-speech		460746	460899	153	short
R-speech		460899	461021	122	short
R-speech		461021	461170	149	short
R-speech		461170	461302	132	short
R-speech		461302	462692	1390	listening
R-speech		462692	462844	152	short
R-speech		462844	463099	255	medium
R-speech		463099	463428	329	medium
R-speech		463428	463608	180	short
R-speech		463608	463855	247	listening
R-speech		463855	464030	175	short
R-speech		464030	464151	121	short
R-speech		464151	464301	150	short
R-speech		464301	464523	222	medium
R-speech		464523	464777	254	medium
R-speech		464777	464970	193	short
R-speech		464970	465463	493	long
R-speech		465463	465787	324	medium
R-speech		465787	466588	801	long
R-speech		466588	467637	1049	listening
R-speech		467637	468330	693	long
R-speech		468330	468609	279	medium
R-speech		468609	468818	209	medium
R-speech		468818	469023	205	medium
R-speech		469023	469271	248	medium
R-speech		469271	469430	159	short
R-speech		469430	469566	136	short
R-speech		469566	469703	137	short
R-speech		469703	470000	297	listening
